Track name, Artist name, Album, Playlist name, Type, ISRC
The Girl,Hellberg,The Girl,Favorite Songs,Favorite,CA6D21500160
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,Favorite Songs,Favorite,GBAHT2000942
Bad Habits,Ed Sheeran,Bad Habits,Favorite Songs,Favorite,GBAHS2100318
Fly Away,TheFatRat,Fly Away,Favorite Songs,Favorite,SEUM71700411
Stronger,TheFatRat,Stronger,Favorite Songs,Favorite,CA6D21900181
Daisy,Ashnikko,Daisy,Favorite Songs,Favorite,GBAYE2000596
Boss Bitch,Doja Cat,Boss Bitch,Favorite Songs,Favorite,USAT21907355
Re:make,ONE OK ROCK,Zankyō Reference,Favorite Songs,Favorite,JPJ221100255
Slumber Party (feat. Princess Nokia),Ashnikko,DEMIDEVIL,Favorite Songs,Favorite,GBAYE2000706
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),Favorite Songs,Favorite,USSM12104539
Therefore I Am,Billie Eilish,Happier Than Ever,Favorite Songs,Favorite,USUM72021500
Male Fantasy,Billie Eilish,Happier Than Ever,Favorite Songs,Favorite,USUM72105937
Everybody Dies,Billie Eilish,Happier Than Ever,Favorite Songs,Favorite,USUM72105933
Parasite Eve,Bring Me The Horizon,Parasite Eve,Favorite Songs,Favorite,GBARL2000489
Everything Would Be Fine,Alx Beats,"Instrumentals, Vol. 7",Favorite Songs,Favorite,FR59R1761215
"Everything Would Be Fine, Pt. 2",Alx Beats,Everything Would Be Fine,Favorite Songs,Favorite,DGA072182522
"Everything Would Be Fine, Pt. 3",Alx Beats,Everything Would Be Fine,Favorite Songs,Favorite,DGA072182529
Givin' Up,Emarosa,Peach Club,Favorite Songs,Favorite,USHR21810501
Hell Of It,Emarosa,Peach Club,Favorite Songs,Favorite,USHR21810508
Comfortable,Emarosa,Peach Club,Favorite Songs,Favorite,USHR21810509
avalanche,Christian French,avalanche,Favorite Songs,Favorite,USRC12101287
Cosmic Girl,Konnichiwa Tokyo,Cosmic Girl,Favorite Songs,Favorite,TCJPO2136926
Anu,Serhat Durmus,Arres,Favorite Songs,Favorite,SE6QE2146723
DiE4u,Bring Me The Horizon,DiE4u,Favorite Songs,Favorite,GBARL2101316
Circle The Drain,Wage War,Circle The Drain,Favorite Songs,Favorite,US5262124224
Burn It All Down,League of Legends,Burn It All Down,Favorite Songs,Favorite,QZH6S1900404
"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,Writing's On The Wall,Favorite Songs,Favorite,GBUM71505354
Aawake At Night,half•alive,3,Favorite Songs,Favorite,TCADA1732661
Piano,Alissic,Piano,Favorite Songs,Favorite,GBCEN2100113
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Enemy (with JID) [from the series Arcane League of Legends],Favorite Songs,Favorite,USUM72119916
Simulation,First in Flight,Simulation,Favorite Songs,Favorite,QZK6J2160745
Sure,Emarosa,131,Favorite Songs,Favorite,USHR21610503
RISE,League of Legends,RISE,Favorite Songs,Favorite,NLRD51859880
IW2DWY,Emarosa,Peach Club,Favorite Songs,Favorite,USHR21810510
MONEY,LISA,LALISA,Favorite Songs,Favorite,KRA402100099
MUKANJYO,Survive Said The Prophet,MUKANJYO,Favorite Songs,Favorite,JPU901901409
DARKSIDE,Neoni,DARKSIDE,Favorite Songs,Favorite,DEWO71700190
LOSER,Neoni,LOSER,Favorite Songs,Favorite,DEWO71700228
Switchblade,neverwaves,Switchblade,Favorite Songs,Favorite,QZFZ52053467
Bad Word,Judd,Bad Word,Favorite Songs,Favorite,TCAFP2130510
IDGAF,Grace Blue,IDGAF,Favorite Songs,Favorite,QZK6P2107687
Euphoria,HARTMAN,Euphoria,Favorite Songs,Favorite,RUB422101561
Breathe Again,Pop Evil,Breathe Again,Favorite Songs,Favorite,USKO12000098
Easy On Me,Adele,30,Favorite Songs,Favorite,USSM12105970
To Be Loved,Adele,30,Favorite Songs,Favorite,USSM12105979
flip a switch,tiLLie,flip a switch,Favorite Songs,Favorite,QZSYP2103455
Falling On Your Sword,Mickey Valen,Falling On Your Sword,Favorite Songs,Favorite,DEWO71700296
Snitch on Myself,neverwaves,Snitch on Myself,Favorite Songs,Favorite,QZMEP2079369
Set Fire to the Rain,Adele,21,Favorite Songs,Favorite,GBBKS1000348
Water Under the Bridge,Adele,25,Favorite Songs,Favorite,GBBKS1500219
good 4 u,Olivia Rodrigo,SOUR,Favorite Songs,Favorite,USUG12101245
Goodbye (from the series Arcane League of Legends),Ramsey,Arcane League of Legends (Soundtrack from the Animated Series),Favorite Songs,Favorite,QZH6S1900386
Playground (from the series Arcane League of Legends),Bea Miller,Playground (from the series Arcane League of Legends),Favorite Songs,Favorite,QZH6S1900384
PARAMOUR (feat. AURORA),Sub Urban,PARAMOUR (feat. AURORA),Favorite Songs,Favorite,USWB12100975
Stronger (Champion Remix),Lemon Fight,Stronger (Champion Remix),Favorite Songs,Favorite,GB2LD1800856
Timebomb,MXMS,Funeral Pop I,Favorite Songs,Favorite,QM3EF1900006
Running With Scissors,Sizzy Rocket,ANARCHY,Favorite Songs,Favorite,QZMZ92030507
Take A Sip - Dodge & Fuski Remix,Naeleck,Take A Sip Remixes,Favorite Songs,Favorite,GBKQU1916929
Fight For Me,GAWVI,PANORAMA,Favorite Songs,Favorite,QMTND1101545
Give You Up,Dido,Still on My Mind,Favorite Songs,Favorite,GB5KW1803219
Lay Back,CLAVVS,No Saviors,Favorite Songs,Favorite,QMEZE1845833
Bone,So Below,Left Behind,Favorite Songs,Favorite,GBKPL1938612
Scary People,Georgi Kay,Where I Go to Disappear,Favorite Songs,Favorite,FR59R1757981
Dirty Little Animals (From the series Arcane League of Legends),BONES UK,Dirty Little Animals (From the series Arcane League of Legends),Favorite Songs,Favorite,QZH6S1900387
Sing To Me,MISSIO,Sing To Me,Favorite Songs,Favorite,USRC11902798
Seize the Power,YONAKA,Seize the Power,Favorite Songs,Favorite,GB45A2002270
On the Edge,As The Structure Fails,On the Edge,Favorite Songs,Favorite,TCAFG2025456
IDLY,Oh well.,IDLY,Favorite Songs,Favorite,QZPLR2189550
Koufukuron,Yuu Miyashita,Koufukuron,Favorite Songs,Favorite,JPPC02111002
Devil Trigger,Casey Edwards,Devil Trigger,Favorite Songs,Favorite,JPE101802510
Sailing,Aimer,Penny Rain,Favorite Songs,Favorite,JPU901804009
"Soldier, Poet, King",The Oh Hellos,Dear Wormwood,Favorite Songs,Favorite,USAT21502721
Dandelions,Ruth B.,Safe Haven,Favorite Songs,Favorite,USSM11703468
ICON,TWICE,Formula of Love: O+T=<3,Favorite Songs,Favorite,US5TA2100100
MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,Favorite Songs,Favorite,USRC11903813
Bury the Light,Casey Edwards,Devil May Cry 5 Special Edition Vergil`s Rebirth Sound Selection,Favorite Songs,Favorite,JPE102003410
The Call,League of Legends,The Call,Favorite Songs,Favorite,QZH6S1900569
I Don't Know You Anymore,Eric Nam,There And Back Again,Favorite Songs,Favorite,QMDA62129155
VAMPIR (feat. Oli Sykes of Bring Me The Horizon),IC3PEAK,VAMPIR,Favorite Songs,Favorite,QMDA72163620
Слезы,IC3PEAK,Сказка,Favorite Songs,Favorite,QM6N21830915
Kawaii / Warrior,IC3PEAK,Kawaii / Warrior,Favorite Songs,Favorite,USQY51606891
"Zeri, the Spark of Zaun",League of Legends,"Zeri, the Spark of Zaun",Favorite Songs,Favorite,QZH6S1900570
You should be sad,Halsey,Manic,Favorite Songs,Favorite,USUM71918343
EARTHRISE,STARSET,HORIZONS,Favorite Songs,Favorite,US5262124325
Honor (Eastern Bloc),Shadowalker,Honor (Eastern Bloc),Favorite Songs,Favorite,QZFZ42104763
Dance in the Dark,Au/Ra,Dance in the Dark,Favorite Songs,Favorite,GBARL1900742
Again,Melad,Again,Favorite Songs,Favorite,USA2P2201092
Guns for Hire (from the series Arcane League of Legends),Woodkid,Arcane League of Legends (Soundtrack from the Animated Series),Favorite Songs,Favorite,QZH6S1900388
What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Sting,Arcane League of Legends (Soundtrack from the Animated Series),Favorite Songs,Favorite,QZH6S1900378
panic attack,Oh well.,panic attack,Favorite Songs,Favorite,QZDA42247929
Boyfriend,Dove Cameron,Boyfriend,Favorite Songs,Favorite,USQX92200693
Stay Alive (Prod. SUGA of BTS),Jung Kook,Stay Alive (Prod. SUGA of BTS),Favorite Songs,Favorite,USA2P2203296
